,balancing,cell_line,model,required_time,task,val_auprc,val_auroc
0,balanced,HelaS3,simple,36.9658522605896,Active promoters vs inactive promoters,0.2042497250810805,0.4958264483234718
1,balanced,HelaS3,simple,36.62894582748413,Active promoters vs inactive promoters,0.4149037606104195,0.7874416709034764
2,balanced,HelaS3,simple,36.60341358184815,Active promoters vs inactive promoters,0.3807272577036538,0.7613180700654002
3,balanced,HelaS3,simple,36.85913419723511,Active promoters vs inactive promoters,0.2084964648652207,0.508199522531481
4,balanced,HelaS3,simple,36.870094537734985,Active promoters vs inactive promoters,0.5083865540868445,0.8133785464078461
5,balanced,HelaS3,simple,37.04893732070923,Active promoters vs inactive promoters,0.1949169449758581,0.4746256001959616
6,balanced,HelaS3,simple,36.97419214248657,Active promoters vs inactive promoters,0.4561906809486589,0.8055942270341331
7,balanced,HelaS3,simple,36.87676334381104,Active promoters vs inactive promoters,0.4471056932832666,0.7710061310646089
8,balanced,HelaS3,simple,36.57901024818421,Active promoters vs inactive promoters,0.20344652409370528,0.49927544769887
9,balanced,HelaS3,simple,37.149836778640754,Active promoters vs inactive promoters,0.2223419111976383,0.4968051151602652
10,unbalanced,HelaS3,simple,172.1955277919769,Active promoters vs inactive promoters,0.4649380043560134,0.8580567995661451
11,unbalanced,HelaS3,simple,176.93980407714844,Active promoters vs inactive promoters,0.44459045563584704,0.8551224661332031
12,unbalanced,HelaS3,simple,176.47870326042175,Active promoters vs inactive promoters,0.4939507112438775,0.8628980022803192
13,unbalanced,HelaS3,simple,176.91446113586426,Active promoters vs inactive promoters,0.529146571922366,0.8727880780822325
14,unbalanced,HelaS3,simple,177.15567874908447,Active promoters vs inactive promoters,0.4634036322670839,0.8541533214975365
15,unbalanced,HelaS3,simple,177.1123285293579,Active promoters vs inactive promoters,0.5169620880941981,0.8672664093583464
16,unbalanced,HelaS3,simple,176.82407641410828,Active promoters vs inactive promoters,0.5005807276932625,0.8583336869196814
17,unbalanced,HelaS3,simple,177.27065014839172,Active promoters vs inactive promoters,0.4871050857325403,0.8568322125286525
18,unbalanced,HelaS3,simple,176.5767126083374,Active promoters vs inactive promoters,0.5111945256839298,0.86183388940189
19,unbalanced,HelaS3,simple,177.41593861579895,Active promoters vs inactive promoters,0.3397432904261796,0.8365308002626295
20,full_balanced,HelaS3,simple,24.427565574646,Active promoters vs inactive promoters,0.5609896876235122,0.6575116094894251
21,full_balanced,HelaS3,simple,24.3600811958313,Active promoters vs inactive promoters,0.4329893476014012,0.5373594902136863
22,full_balanced,HelaS3,simple,24.109676599502567,Active promoters vs inactive promoters,0.6748827584354052,0.7948755624916635
23,full_balanced,HelaS3,simple,24.71213960647583,Active promoters vs inactive promoters,0.7192735163584837,0.8171871516330182
24,full_balanced,HelaS3,simple,24.33884048461914,Active promoters vs inactive promoters,0.4126236000460563,0.5010273416368296
25,full_balanced,HelaS3,simple,24.550636529922485,Active promoters vs inactive promoters,0.4253164078194484,0.5068115611999502
26,full_balanced,HelaS3,simple,24.42787265777588,Active promoters vs inactive promoters,0.6456621373434431,0.7415727756146623
27,full_balanced,HelaS3,simple,24.991210222244266,Active promoters vs inactive promoters,0.6998875896517016,0.8132638368986665
28,full_balanced,HelaS3,simple,24.53769564628601,Active promoters vs inactive promoters,0.4081969033967874,0.4955876075262821
29,full_balanced,HelaS3,simple,24.530203104019165,Active promoters vs inactive promoters,0.5962808677170355,0.7054647018493727
30,balanced,HelaS3,simple,101.53734111785887,Active enhancers and promoters vs anything else,0.37271062704085417,0.8379515129551419
31,balanced,HelaS3,simple,101.76901245117188,Active enhancers and promoters vs anything else,0.3994113774538289,0.8381036520709991
32,balanced,HelaS3,simple,101.22590208053587,Active enhancers and promoters vs anything else,0.35699170345204584,0.8332582410260385
33,balanced,HelaS3,simple,101.55865693092346,Active enhancers and promoters vs anything else,0.35234163940260343,0.8272734204268289
34,balanced,HelaS3,simple,101.45725750923157,Active enhancers and promoters vs anything else,0.3858852981714522,0.8430966126607269
35,balanced,HelaS3,simple,101.26379323005676,Active enhancers and promoters vs anything else,0.2440606914062642,0.7830388864504254
36,balanced,HelaS3,simple,102.0609827041626,Active enhancers and promoters vs anything else,0.2506822998817493,0.7823420071512477
